epoch,station_name,train_loss,val_loss,val_acc,val_prec,val_rec,val_f1,time
4025,uka,0.05759809538722038,0.0575907900929451,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.185323+02:00
4026,uka,0.05759080499410629,0.057583510875701904,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.187159+02:00
4027,uka,0.057583510875701904,0.05757622793316841,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.189024+02:00
4028,uka,0.05757622793316841,0.05756894499063492,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.190851+02:00
4029,uka,0.05756893754005432,0.057561662048101425,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.192708+02:00
4030,uka,0.057561662048101425,0.05755438283085823,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.194561+02:00
4031,uka,0.05755438283085823,0.05754711851477623,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.196424+02:00
4032,uka,0.05754711851477623,0.05753985047340393,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.198281+02:00
4033,uka,0.05753985792398453,0.057532597333192825,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.200135+02:00
4034,uka,0.05753258988261223,0.057525329291820526,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.201979+02:00
4035,uka,0.05752533674240112,0.05751807242631912,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.203840+02:00
4036,uka,0.05751807987689972,0.05751083418726921,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.205678+02:00
4037,uka,0.057510826736688614,0.05750356987118721,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.207492+02:00
4038,uka,0.05750356987118721,0.0574963241815567,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.209325+02:00
4039,uka,0.057496316730976105,0.05748908966779709,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.211151+02:00
4040,uka,0.05748908966779709,0.05748184025287628,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.213023+02:00
4041,uka,0.05748184025287628,0.05747459828853607,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.214841+02:00
4042,uka,0.05747459828853607,0.057467371225357056,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.216704+02:00
4043,uka,0.057467371225357056,0.05746014416217804,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.218534+02:00
4044,uka,0.05746013671159744,0.057452909648418427,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.220395+02:00
4045,uka,0.05745291709899902,0.05744568258523941,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.222232+02:00
4046,uka,0.057445675134658813,0.05743847414851189,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.224103+02:00
4047,uka,0.05743847414851189,0.05743125453591347,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.225926+02:00
4048,uka,0.05743125453591347,0.05742405354976654,0.9857142857142858,0.9772727272727273,0.9772727272727273,0.9772727272727273,2021-10-15 15:24:54.227801+02:00
